TE_sec,h_yy_sec,h_yyx_sec,loss_yy,loss_yyx,run_duration_sec
-0.038413278935798593,-0.44401230339545056,-0.40559902445965196,0.6478780034717361,0.6545184753369354,292.9331793785095
0.034418421681188,-0.4250109619677804,-0.45942938364896835,0.659165058796836,0.6658782066457635,196.0481357574463
0.0010600938940926944,-0.44891583881558744,-0.4499759327096801,0.6375249652262467,0.6426737723432182,175.97821164131165
-0.012616731664788204,-0.4303446369105817,-0.4177279052457935,0.6653755663496145,0.6635175140575317,165.49297642707825
-0.03467141429745965,-0.4328362726301038,-0.39816485833264414,0.6667039735247917,0.6695922436062818,183.23832511901855
0.0036002818955848085,-0.4313515836695211,-0.4349518655651059,0.6680351220863552,0.6653650953018632,185.69674253463745
-0.013099742631414914,-0.40898095893196706,-0.3958812163005521,0.6760022099964745,0.6725749301036864,154.83875274658203
-0.005672039931218391,-0.4328559079693737,-0.4271838680381553,0.658500137769668,0.6571356759323916,77.88795113563538
0.014879084210464329,-0.40261555565539114,-0.4174946398658555,0.6632941852571099,0.6639362822866497,141.30307722091675
0.01986817579687397,-0.38528949769834625,-0.4051576734952202,0.6727237230465736,0.6708338375539715,142.64309763908386
