TE_sec,h_yy_sec,h_yyx_sec,loss_yy,loss_yyx,run_duration_sec
0.5189906342346559,-0.44727293645328986,-0.9662635706879457,0.6528287659537103,0.22553553939903906,580.3940618038177
0.6283630827753311,-0.5361762697061808,-1.164539352481512,0.57996872217053,0.07936865573635388,1013.9613246917725
0.5745926048278174,-0.43566582753402194,-1.0102584323618393,0.6714275520185771,0.21475751428309642,1252.0587103366852
0.6591171071882781,-0.49034360324337484,-1.149460710431653,0.6434935002693183,0.0952046597655199,647.5755820274353
0.5362138997910265,-0.5196695780751673,-1.0558834778661939,0.5713698075672793,0.14226274078834275,590.6928584575653
0.5224515823865418,-0.4770389162255612,-0.999490498612103,0.6492430010393132,0.20704994733996177,702.216979265213
0.6509305001490557,-0.6002712776165787,-1.2512017777656346,0.5300600690683107,-0.019101536604306666,573.3175711631775
0.5593624713396123,-0.48630883271380415,-1.0456713040534165,0.6147056761565703,0.18288380255891704,746.9945042133331
0.58473685026808,-0.39364826901518457,-0.9783851192832645,0.6623984179039938,0.22676598548134075,435.47486543655396
0.6153069485372913,-0.5317064953957946,-1.147013443933086,0.6103767349714339,0.09566289102474282,753.9566724300385
