task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te_mean,te_std,te_sem,te_iqr,te_ci_lower,te_ci_upper,te_snr_linear,te_snr_db,mean_runtime
0,BC,0,POm,46,-0.10038314457640496,1.0183335088701846,0.14401410592631975,1.103397241865018,-0.3973168877838978,0.15942835640866002,-0.0985759023954515,-inf,93.60726953029632
1,BC,0,POm,47,0.041235746632997915,0.31539260758573984,0.04460325031199688,0.37893718565867296,-0.04487264896885402,0.1303710362926138,0.13074417611956213,-17.671552945652586,71.19155730724334
2,BC,0,POm,48,0.16530161791595957,0.5097172591075786,0.07208490608055786,0.7012326851350963,0.021654149006276283,0.3130577710560255,0.32430060972503144,-9.781044695984411,92.27561268806457
3,BC,0,POm,49,0.0034821789154313976,0.14992917877324075,0.021203187801657742,0.15391506613706918,-0.03559305868577203,0.04703807319513309,0.023225491821695313,-32.68070161283341,12.848216562271118
4,BC,0,POm,50,0.3339248929840508,1.0022901257698393,0.1417452289296342,1.6574662539780256,0.05125536529184125,0.6119728237903691,0.3331619103077262,-9.546893127823001,44.42112902164459
5,BC,0,POm,51,0.30904812765278505,1.38861630177903,0.19638000069082748,1.6788814149305935,-0.08363992482701343,0.6915558529116176,0.22255833181336493,-13.05112285190808,107.66918669223786
6,BC,0,POm,52,-0.5762324030654656,1.4051464000581906,0.19871770960820237,2.0915956766214734,-0.9452294615304654,-0.19910505029287237,-0.41008709344563843,-inf,190.25304737567902
7,BC,0,POm,53,-0.19315406686199169,0.9336293812792298,0.1320351333235088,1.285526598358672,-0.4478555928225724,0.06983278182337366,-0.2068851631440069,-inf,66.6086431837082
8,BC,0,POm,54,-0.031274804823068436,0.24995170195033345,0.035348508683639916,0.2992258876817022,-0.10037865486428021,0.03848185527165407,-0.12512339215550883,-inf,46.90207237243652
9,BC,0,POm,55,0.36883951680104315,0.5942316680496504,0.08403704841474026,0.9046235140230561,0.2042655995095268,0.5251964995465256,0.6206998661172416,-4.142366965807428,76.68104157924652
10,BC,0,POm,56,-0.02109097993428705,0.3802558410603916,0.053776296759919386,0.47765512202914273,-0.11906989767952188,0.09219713570810839,-0.055465235919774904,-inf,80.61122376441955
11,BC,0,POm,57,-0.03050258858062187,0.11309509374804959,0.015994061541634835,0.17199771637140326,-0.06235559685344834,0.0003863080495396919,-0.2697074432651762,-inf,11.9548069524765
12,BC,0,POm,58,0.03066066322683376,0.16950176825859517,0.023971169951752667,0.20518765037119735,-0.018178781742006645,0.07751371920669961,0.1808869815449787,-14.851853764697324,32.14049349784851
13,BC,0,POm,59,0.1430298896824309,0.3247331062501251,0.045924196301047014,0.4592671647722826,0.056444900611435755,0.22921143707688804,0.44045367389262247,-7.121995262896274,60.43260878562927
14,BC,0,POm,60,-0.11648872325388111,0.3165295493349046,0.044764038156126576,0.49932603923568486,-0.19772949059094863,-0.03241054560095323,-0.3680184788391747,-inf,54.330294857025144
15,BC,0,POm,61,-0.0233364664881735,0.3632721971778156,0.051374446808194,0.37560418437473864,-0.12202966071817477,0.07604798098958782,-0.06423961610458917,-inf,56.92134566307068
16,BC,0,POm,62,-0.18535821304017133,0.5513564840659636,0.0779735817468431,0.6359205069520968,-0.34360514308576456,-0.031702235028806175,-0.33618578614193884,-inf,94.7269304895401
17,BC,1,POm,46,0.9519263873990945,1.101811933515314,0.155819737956188,1.7439797282998413,0.6481758071379646,1.2513444299387368,0.8639644919818467,-1.2700821238766478,72.59061361312867
18,BC,1,POm,47,0.6957626264859488,0.9840958879275143,0.1391721751382684,1.332212260385532,0.42464071440129597,0.9528564451419499,0.7070069441619257,-3.011526411575585,88.10385363578797
19,BC,1,POm,48,0.7938620322872064,0.6716486222971025,0.09498545908017668,0.8492186906521955,0.6122572349444737,0.9723322708206317,1.1819603374933196,1.4520580673379673,66.53142891407013
20,BC,1,POm,49,-0.093598851923175,0.342241527987502,0.04840026104872165,0.5325191685817638,-0.18578041166528286,0.002853101241441916,-0.2734877104878782,-inf,16.96580418586731
21,BC,1,POm,50,0.9139699208832505,1.0338329185608646,0.1462060534656534,1.3767365558469997,0.6233876825329575,1.1870523640843764,0.8840596042884105,-1.0703690675912634,52.71486311912537
22,BC,1,POm,51,0.8574407353816883,1.7084801187606253,0.24161557549960724,2.1918085238802405,0.366806944362768,1.3233142777193716,0.5018734054708799,-5.988116343910433,72.03130762577057
23,BC,1,POm,52,2.0588498201011034,6.520771405588568,0.9221763358918023,11.903661256229569,0.38025736904149815,3.8360578077891634,0.31573715624145093,-10.013486138455985,108.2694201517105
24,BC,1,POm,53,0.6855373449334706,0.9518819426628355,0.13461643530918307,1.3479904430794427,0.42150037712983157,0.9372712853193489,0.7201915638989,-2.851039402521952,62.80306709766388
25,BC,1,POm,54,0.3121356344567291,0.4563405893502691,0.06453630505204817,0.6443235433777712,0.1913484131672727,0.43917559121055916,0.683997088449097,-3.2989149384977385,49.17591728687287
26,BC,1,POm,55,0.3334267923708971,0.832160746185727,0.11768530133303699,1.1167192264482306,0.09968115157339417,0.5661903647654736,0.4006759437995418,-7.944134628198337,99.03443522930145
27,BC,1,POm,56,0.23880673879897188,0.8100447814196121,0.11455763160131648,1.1692707510299734,0.029040065906327808,0.4687783003841332,0.2948068357164903,-10.609249013306304,46.47956481456757
28,BC,1,POm,57,-0.0014406318570375153,0.22088736074369233,0.03123819013205281,0.3275652419701643,-0.061184989046534,0.05743509538173569,-0.006522020328311854,-inf,7.69686466217041
29,BC,1,POm,58,-0.030280805990470085,0.5446244986778175,0.07702153524308172,0.6466036967590485,-0.18106313933944282,0.12261005706021634,-0.05559941953397739,-inf,21.87440085887909
30,BC,1,POm,59,-0.13031973980100672,0.4419390558887455,0.06249962065802251,0.6476711352104623,-0.2536359503089959,-0.007241723954760072,-0.29488169933053765,-inf,29.623972663879396
31,BC,1,POm,60,-0.5932348763959006,1.1590970834849226,0.1639210815571477,1.6384659835057693,-0.905525766795099,-0.3055646768277264,-0.511807755233315,-inf,43.57741211414337
32,BC,1,POm,61,-0.8335921550031958,0.8369190566145095,0.11835822804727354,1.2896657447384836,-1.0504605154406752,-0.6010607915608186,-0.9960248227292474,-inf,44.741725659370424
33,BC,1,POm,62,-0.3854247081823686,1.1049871655604775,0.15626878357838317,1.8686528063240626,-0.6871662476614552,-0.08319496596475112,-0.34880469221275656,-inf,69.43469817638398
