Number,State,Value,Param L2_weight_yy,Param L_entropy_weight_yy,Param L_scale_weight_yy,Param L_sep_weight_yy,Param activation_func_yy,Param context_extractor_yy,Param context_size_yy,Param hidden_size_yy_l0,Param hidden_size_yy_l1,Param learning_rate_yy,Param n_layers_yy,Param num_mix_components_yy,UserAttribute h_yy_test_sec_run_0,UserAttribute log_loss_yy_run_0
39,COMPLETE,0.996112236683222,0.0002564096479364064,4.228183508982906e-09,9.121749266624873e-07,1.0821371853534334e-07,ReLU,lstm,4,3,,0.001503948651852855,1,3,-0.022300410622661755,0.996112236683222
40,COMPLETE,1.0785553957474954,0.0003972714512873496,4.9126482244000894e-05,1.5018840186466447e-06,3.6749671530925387e-05,GELU,gru,3,5,5,0.0011070390526825302,2,1,-0.08227027903148865,1.0785553957474954
41,COMPLETE,0.9957811776371585,2.1362294330851914e-08,4.7388536163090535e-08,1.7080640609639107e-07,1.8382737068395614e-06,GELU,lstm,4,6,6,0.001999497588246947,2,4,0.008963218087827908,0.9957811776371585
42,PRUNED,1.0083658772745747,3.876376259160527e-07,2.5208562544227956e-08,3.810721985877783e-08,6.9289350319049554e-09,GELU,lstm,4,6,6,0.0008308513246887596,2,3,,
43,COMPLETE,0.9987539450725118,2.109042000936414e-06,2.103550806928332e-07,3.2247926118825996e-10,0.0002152270448106414,GELU,lstm,4,6,5,0.0016837184469192688,2,3,-0.0025694464146881596,0.9987539450725118
44,PRUNED,1.0130723893135534,0.0001590230724604165,5.268254501975101e-07,9.368157962554022e-09,5.289329171260547e-06,GELU,lstm,4,5,2,0.0006144778772997986,2,5,,
45,PRUNED,1.007807742601159,0.0009871787257899963,2.4600455920693974e-06,1.3287791233555316e-09,1.5156594749244134e-05,GELU,lstm,1,6,4,0.0009332357179041118,2,4,,
46,COMPLETE,0.9983752094667634,3.365141483214359e-09,7.829113411713585e-07,5.226102960983745e-09,1.1929456357929468e-06,Tanh,lstm,4,5,6,0.0030004156363560826,2,2,-0.0196813524764606,0.9983752094667634
47,COMPLETE,0.9936789846110189,3.8379954060256066e-08,0.00022756667123420592,1.8621741962089573e-05,2.891600870711327e-10,GELU,lstm,4,2,4,0.0024284476869901616,2,3,-0.004901653609463272,0.9936789846110189
48,COMPLETE,0.9957544480400601,3.3565737703735384e-09,0.0002013999143272427,2.5910634146681433e-05,0.0006587880508812794,GELU,lstm,4,2,,0.0013792939119430252,1,3,-0.01966655465671415,0.9957544480400601
49,PRUNED,1.0080311132586557,6.385193274383335e-08,0.0006192758302592908,0.00022984263804475317,1.5692727109871287e-10,ReLU,gru,1,2,4,0.0021520220344893,2,3,,
