Number,State,Value,Param L2_weight_yyx,Param L_entropy_weight_yyx,Param L_scale_weight_yyx,Param L_sep_weight_yyx,Param activation_func_yyx,Param context_extractor_yyx,Param context_size_yyx,Param hidden_size_yyx_l0,Param hidden_size_yyx_l1,Param learning_rate_yyx,Param n_layers_yyx,Param num_mix_components_yyx,UserAttribute h_yyx_test_sec_run_0,UserAttribute log_loss_yyx_run_0
27,COMPLETE,0.5150862823074135,2.5973814502755908e-05,0.0008715226320959149,6.797385334312022e-08,8.619180484657246e-07,GELU,lstm,4,4,3,0.006720108120811471,2,4,0.4856429885874794,0.5150862823074135
28,PRUNED,0.6321053908072811,4.988952531483336e-05,0.0002983117317209842,9.348320819041874e-08,1.8311686148703076e-05,ReLU,gru,3,4,,0.00774904921587941,1,3,,
29,COMPLETE,0.5186883731744718,7.88850945246278e-06,0.0008544747796975525,5.305543050564699e-09,0.00011783549005843299,Tanh,gru,4,4,3,0.006083871009387904,2,5,0.4969278683056882,0.5186883731744718
30,PRUNED,0.7765719531595021,2.1786760559638338e-05,0.00019215012736724415,2.7287628364017467e-10,0.0002611540097928628,ReLU,gru,3,4,3,0.009907294531159686,2,1,,
31,PRUNED,0.6389086576865398,0.0007454820442027441,2.537612054298825e-05,7.68422331691126e-09,0.00010213539374213003,Tanh,gru,4,4,3,0.006069981421683664,2,5,,
32,COMPLETE,0.47843509748496077,8.46778492610212e-06,0.0004998474416774466,5.0241618351182135e-08,0.0009842369939079207,Tanh,gru,4,4,4,0.00632633256800216,2,5,0.5189895654135538,0.47843509748496077
33,COMPLETE,0.5137044905184984,0.00015860188652903721,0.0006713468247212515,5.465921837567316e-09,2.188771490473589e-06,Tanh,gru,4,3,4,0.006721320670759962,2,5,0.480068103490184,0.5137044905184984
34,PRUNED,0.7258406701596037,0.00029070791728565436,0.0008080569784437488,6.071707110293526e-10,2.1069646690402603e-06,Tanh,gru,4,3,4,0.0007154243069946185,2,5,,
35,COMPLETE,0.46657683242255893,0.00015034955189675413,0.0002915120808357504,4.033731713458755e-08,6.238313212626435e-06,Tanh,gru,3,3,5,0.007882822631563417,2,5,0.5284564734842866,0.46657683242255893
36,COMPLETE,0.5084809474553866,0.00020067066284464472,0.00012369482575943258,4.873228352388493e-08,6.952844856519715e-06,Tanh,gru,2,3,5,0.007907893386270152,2,5,0.49760400121355136,0.5084809474553866
37,PRUNED,0.7770990235260452,0.0008967034165077414,3.1268459579950925e-05,3.5611012312187245e-08,1.1967779983709786e-05,Tanh,gru,2,2,5,0.008433719349736643,2,2,,
38,PRUNED,0.7942648272683706,0.0003574152126081672,0.00014162721352348494,3.0477557980976727e-07,0.0009930488293866534,Tanh,gru,1,3,6,0.004292131001533746,2,5,,
39,PRUNED,0.5667417286753118,3.81210455089032e-05,0.0003151033816353332,3.9003879651104037e-08,7.53627251284107e-06,Tanh,gru,2,3,5,0.008177884553646333,2,5,,
40,PRUNED,0.8456728941443683,9.920761297515277e-05,7.189948612226608e-05,3.154592444510931e-07,4.148841675118542e-06,Tanh,gru,1,2,5,0.0014377151344242,2,5,,
41,PRUNED,0.676538236025514,0.00020761296700431585,0.00030767691775224464,3.972885182156776e-09,2.760028147736804e-05,Tanh,gru,2,3,4,0.005463267789322756,2,5,,
42,PRUNED,0.6711229521850158,0.00011735511704173988,3.245497429033713e-05,1.0929237899165705e-09,3.89875384900279e-06,Tanh,gru,3,3,4,0.007482158415471415,2,5,,
43,PRUNED,0.6988767134421703,1.1556905253763986e-05,0.00010635918940132565,1.7056225655207797e-08,5.833395761635092e-07,Tanh,gru,3,3,4,0.005512940585783849,2,5,,
44,PRUNED,0.6791742886824271,0.0004967749619338482,0.0003775551939772831,2.9268350692449792e-08,1.1616018010469435e-06,Tanh,gru,2,3,5,0.00993352339830813,2,4,,
45,PRUNED,0.760398760743592,3.9875797753423374e-06,0.00016298141436996266,1.0132694253135903e-06,2.141234922121352e-07,ReLU,gru,3,2,6,0.006866806577205454,2,5,,
46,PRUNED,0.5754648574058148,8.741566278251208e-10,2.607978891928434e-05,1.488839453452649e-07,4.120221294601803e-06,Tanh,gru,2,3,5,0.00829840750696029,2,4,,
47,PRUNED,0.8042679887345101,0.0002014920940379751,0.00045626804506111436,1.2905238769016305e-10,4.406956576308252e-05,Tanh,gru,1,3,4,0.0047439387958462045,2,5,,
48,PRUNED,0.6361500108880124,1.9155139386791385e-10,6.422408094214468e-05,5.619265153709609e-08,0.0004368258246406567,Tanh,gru,3,2,4,0.003987392272417537,2,5,,
49,PRUNED,0.7062828747137241,2.9151473107509087e-08,0.00019191925184972063,7.658515571602854e-09,7.366318660818137e-08,ReLU,gru,4,4,5,0.005407861720749574,2,5,,
