run,ln_yyx_sec,loss_yyx,run_duration_sec
1,85.67084621545506,-2.89125908232673,100.56466865539551
2,84.82173935263981,-2.7400266461701808,121.28679919242859
3,86.59225930992866,-2.9616795865442196,55.75005054473877
4,81.89067271186596,-2.7304676727279533,24.807640314102173
5,85.26088888117356,-2.793640875419582,65.91309595108032
6,86.64710045286192,-2.957784724848714,70.22475290298462
7,82.86778409804738,-2.730019188985281,25.649391651153564
8,85.5102864172944,-2.737717929057142,56.1201913356781
9,83.11351281903121,-2.637097118722028,51.43843698501587
10,83.98328952427009,-2.801925836160095,33.879655599594116
11,83.70996279656376,-2.63268190384873,47.04625177383423
12,85.31831238952319,-2.8510486720128907,40.78099250793457
13,83.68402449192703,-2.8545662730376167,33.35853958129883
14,83.3694891084855,-2.7591127981396557,26.61402678489685
15,84.23122390197318,-2.7485204745709626,36.01432228088379
16,82.17413781711605,-2.751248819925421,34.88895344734192
17,84.71342195335701,-2.7933107684852496,49.09306979179382
18,80.19213141345534,-2.647980151847343,43.68490552902222
19,84.58488239445003,-2.787911604103631,52.52596640586853
20,85.59726790950073,-2.9197699488622035,47.74879479408264
21,82.25293544936649,-2.746937007779012,28.260027170181274
22,82.57520155041813,-2.7440656468655447,30.496172666549683
23,85.20689396792221,-2.669511803700596,38.3997118473053
24,84.54700406197908,-2.8109145325599627,36.303478717803955
25,82.15193384217235,-2.679576848771196,49.78406739234924
26,83.92784237169369,-2.6987861483252176,61.1110577583313
27,84.84842561512438,-2.689076233679636,49.08738303184509
28,82.21005617245284,-2.6446692023803897,40.114752531051636
29,81.38182115527557,-2.6339292771516876,45.82598066329956
30,73.5073591497236,-2.2853314144348054,26.830085277557373
31,85.79678157076032,-2.829147762081206,54.02876925468445
32,84.72243020480946,-2.6989125585051057,35.71263074874878
33,85.44603301647993,-2.914347546183576,30.5037043094635
34,81.5790199688892,-2.6852828510109368,17.153021574020386
35,82.29817870984313,-2.666713389494295,48.86319351196289
36,84.26981743501402,-2.6610737164334344,52.36495900154114
37,82.79466439398516,-2.748715522369831,19.04393219947815
38,86.17608901191815,-2.9298130175830495,53.176395654678345
39,83.86775460473268,-2.669799373778681,49.63870143890381
40,81.84873247692188,-2.7340410456655007,22.954219341278076
41,82.50098993708896,-2.7455694570844367,24.580041885375977
42,84.59158125780287,-2.7957421714948154,55.78562688827515
43,85.14054410131517,-2.7909261344721146,44.3658447265625
44,84.80443259075842,-2.6644668463679557,47.432815074920654
45,85.71082647326493,-2.8553638852610472,35.800503969192505
46,82.19890777883714,-2.7225886896530667,25.840864181518555
47,84.79317500621605,-2.77423095703125,53.52488112449646
48,85.7702645542121,-2.884086574260117,43.22461676597595
49,84.08725566512403,-2.7966630236403964,43.205100774765015
50,83.85858802643652,-2.8693930144509583,42.66931366920471
