run,ln_yyx_sec,loss_yyx,run_duration_sec
1,9.308230429311898,-1.5904110013521635,24.658791542053223
2,8.682851368022169,-1.2661199951171875,25.842287063598633
3,9.012544917284321,-1.3591230656550481,23.606133699417114
4,8.821134230184963,-1.3847788884089542,21.944207906723022
5,8.396380814302884,-1.2375943227914663,19.940848112106323
6,8.867590952398839,-1.4183917471078726,24.9079692363739
7,8.595690842431223,-1.3366186992938702,22.783900022506714
8,8.554734062833868,-1.2445719792292669,20.48554229736328
9,9.616276542676616,-1.6359788865309495,22.967801570892334
10,8.750478465127538,-1.3464122596153847,31.87538170814514
11,9.346042975218683,-1.5397244732196513,20.269644737243652
12,8.627619401041667,-1.2795389028695914,14.472753286361694
13,8.548313822324053,-1.2649529677170974,25.17418074607849
14,8.770268393179085,-1.3790562086838942,27.96327042579651
15,8.529533685146234,-1.2815530160757211,35.36301803588867
16,8.387241255592281,-1.2241894061748797,29.318521976470947
17,8.33673479984642,-1.136426250751202,19.809398889541626
18,8.941624901300413,-1.4068601637620193,27.100971460342407
19,8.313513837765425,-1.2443275334284856,26.22861123085022
20,8.674230445796608,-1.2634680645282452,25.77087712287903
21,8.644641388721954,-1.3296546349158653,31.377254247665405
22,8.261377482305022,-1.2274499981219953,23.373215198516846
23,9.012253184261485,-1.4218021334134616,26.794050931930542
24,9.022991637244592,-1.4432813439002403,23.13715434074402
25,8.79258385541867,-1.3642343374399037,23.14276432991028
26,8.531624438476562,-1.298704833984375,12.130082845687866
27,9.228519665840345,-1.4634034846379207,17.20408821105957
28,9.266850143563035,-1.600343745304988,30.708464860916138
29,8.972395688518295,-1.465796626164363,16.851518869400024
30,8.643450497879941,-1.2783227069561298,15.382832050323486
31,7.728633521133815,-0.9081354816143329,19.315675735473633
32,8.780759507295006,-1.3245466965895432,15.210054159164429
33,8.787377759832399,-1.3154541015625,19.4999942779541
34,8.699973418719953,-1.2780599740835337,24.230715036392212
35,9.00067828901242,-1.3923821551983173,16.65325617790222
36,8.671597801899706,-1.3058621450570913,10.891745805740356
37,8.697816426490718,-1.282271963266226,15.40106201171875
38,8.736254013922276,-1.3359292133037861,12.503664016723633
39,8.934257585470085,-1.4018357966496395,11.410219430923462
40,8.31411210186298,-1.2490594951923077,13.319904327392578
41,8.944416800422342,-1.4215238600510818,14.693666458129883
42,8.132158779255143,-1.061894273024339,18.984533548355103
43,8.392678482655583,-1.141212909405048,17.696240425109863
44,8.811526066498063,-1.3186113093449519,18.028316974639893
45,8.195669199260484,-1.1230509361853966,12.1207857131958
46,8.50661854947082,-1.1776947490985576,6.7789998054504395
47,8.535070975227029,-1.260358135516827,9.474284648895264
48,8.80608179274339,-1.2895720496544472,9.143610715866089
49,8.888397718015492,-1.4617040546123798,14.558023452758789
50,9.150469807525374,-1.451624004657452,17.252815008163452
