TE_sec,h_yy_sec,h_yyx_sec,loss_yy,loss_yyx,run_duration_sec
0.5504432667300663,-0.42831152597542516,-0.9787547927054914,0.6595604581694177,0.21082740600519054,291.86923480033875
0.5395028492331554,-0.4378090327954848,-0.9773118820286402,0.655667975927924,0.2279893680738961,287.8521819114685
0.5234634485095558,-0.4329360369173477,-0.9563994854269035,0.6322615415030064,0.2169427940108715,297.87774538993835
0.5531834974279133,-0.4197335697377474,-0.9729170671656607,0.6653566582788626,0.23144045957271547,241.67141485214233
0.4876036424044626,-0.42989671703637733,-0.91750035944084,0.6692799805502275,0.24407107446696755,221.40772032737732
0.596100894864918,-0.4205278817054293,-1.0166287765703474,0.6632698159408797,0.19518742482485013,288.71224451065063
0.6034906780974949,-0.41378219153435636,-1.0172728696318512,0.6773018712516704,0.20445014338351788,185.2809703350067
0.5668619387748349,-0.40772503788815345,-0.9745869766629884,0.6640711558437556,0.20928925341119517,469.5954022407532
0.582064821565887,-0.43443957460836347,-1.0165043961742504,0.6576331903032393,0.20015825297068163,476.9370813369751
0.5648218612036622,-0.4227549283293848,-0.987576789533047,0.6677267154770369,0.2467950746627841,484.8241171836853
