task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
122,BC,5,POm,49,0.024581548,0.209766694,46.19431586,FALSE
397,POm,62,BC,1,-0.041318081,0.18796066,45.66666576,FALSE
347,POm,57,BC,9,-0.247478734,0.36530728,44.77101813,FALSE
251,POm,49,BC,9,0.0112929,0.165275119,44.62019773,FALSE
329,POm,56,BC,3,-0.00467527,0.119169822,44.0980679,FALSE
371,POm,59,BC,9,-0.030054596,0.130598189,43.90037048,FALSE
287,POm,52,BC,9,0.004018993,0.130784925,43.14277357,FALSE
377,POm,60,BC,3,-0.030345277,0.156988691,42.87371169,FALSE
387,POm,61,BC,11,0.0025688,0.165976221,42.66387205,FALSE
327,POm,56,BC,11,0.028456926,0.139450025,42.03079004,FALSE
3,BC,0,POm,49,0.03412788,0.186344319,41.36380845,FALSE
217,POm,47,BC,1,-0.057764518,0.151227273,40.58676344,FALSE
173,BC,8,POm,49,-0.008052422,0.177857761,39.28219128,FALSE
64,BC,11,POm,59,-0.208145286,0.511515271,38.8573536,FALSE
231,POm,48,BC,11,0.011565172,0.181382625,37.81077136,FALSE
243,POm,49,BC,11,-0.000350284,0.149894727,37.71519789,FALSE
299,POm,53,BC,9,-0.034806873,0.156278743,37.68610172,FALSE
105,BC,4,POm,49,0.032578275,0.19871077,37.49474505,FALSE
275,POm,51,BC,9,-0.013015351,0.182034941,35.73249244,FALSE
339,POm,57,BC,11,-0.015929626,0.22020339,35.57825993,FALSE
139,BC,6,POm,49,0.06824201,0.241266282,34.90979973,FALSE
323,POm,55,BC,9,-0.008128426,0.157392201,34.81720425,FALSE
399,POm,62,BC,11,-0.035339863,0.123920351,34.18566901,FALSE
253,POm,50,BC,1,0.010143043,0.156851833,32.8339936,FALSE
62,BC,11,POm,57,-0.054879185,0.087371918,32.52086995,FALSE
11,BC,0,POm,57,-0.02426354,0.071002808,31.90543148,FALSE
337,POm,57,BC,1,-0.013606622,0.17814486,31.42921334,FALSE
20,BC,1,POm,49,-0.05861885,0.470351086,29.07181098,FALSE
113,BC,4,POm,57,-0.010642554,0.078201612,28.79356843,FALSE
71,BC,12,POm,49,0.048876445,0.205454553,27.60404267,FALSE
255,POm,50,BC,11,0.006751933,0.083447681,27.51258236,FALSE
361,POm,59,BC,1,0.025333927,0.118586196,26.35381339,FALSE
