run,ln_yy_sec,loss_yy,run_duration_sec
1,168.85231137154983,-2.880781185817743,74.48346829414368
2,166.1469141297484,-2.7384138545742913,85.72312903404236
3,166.3925980834427,-2.8052998049355473,39.54957318305969
4,165.90166559289716,-2.811570589754949,41.93447470664978
5,163.92080197794076,-2.746063767274019,39.39805030822754
6,167.47387961522452,-2.8175991098075945,35.35803198814392
7,164.64783925163337,-2.8028938694596137,49.315500259399414
8,164.57545120147532,-2.7223334938613237,48.037537574768066
9,166.54831403194058,-2.786480892724969,37.23649454116821
10,167.55332141824005,-2.8247564779431316,59.4811315536499
11,164.71582959167657,-2.729033016934442,75.20539093017578
12,166.14448668084836,-2.8041094411046243,52.52846360206604
13,170.2207176550638,-2.920933830759263,67.67153978347778
14,164.88345419083197,-2.8102547914690557,45.6770977973938
15,166.44312820807934,-2.761245289580423,57.54932689666748
16,166.52532402262722,-2.769073757629937,66.58852005004883
17,167.1409816678661,-2.79782182782139,51.33135223388672
18,168.51497217239228,-2.815929185142062,85.0955560207367
19,164.3961465455049,-2.7453124007810517,33.60091042518616
20,167.7082753872626,-2.8229350118368206,49.1257541179657
21,164.94633926839035,-2.8035620315625396,45.73710608482361
22,166.77420829011797,-2.769154869120285,62.99801015853882
23,163.80217265905017,-2.7248578719569547,50.142210721969604
24,166.1114058861972,-2.8110114677260603,31.695255279541016
25,166.90772886504107,-2.815252349132628,68.29428267478943
26,165.19310087877122,-2.7482757762146384,48.28593349456787
27,166.3163021671182,-2.7494657912289457,56.53291702270508
28,168.73052528054708,-2.816610059672756,76.10876441001892
29,167.62210639402184,-2.79945189437498,34.621288537979126
30,167.13290468542743,-2.777654894421117,46.12643623352051
31,169.2700829470409,-2.8328783317722888,39.13088512420654
32,166.37343974234824,-2.742556780523717,47.03894662857056
33,166.4009798576715,-2.810217181286413,40.12955093383789
34,168.86375194910113,-2.8230685698431945,49.12903928756714
35,168.6947231306268,-2.8123834409900264,63.571967124938965
36,165.9321883135954,-2.7446691751904013,44.059995889663696
37,165.23297417617403,-2.7673944226672633,29.45397138595581
38,166.6983260197944,-2.808435123706185,28.90130305290222
39,166.58046956580023,-2.7562014555791805,31.996696710586548
40,164.57237062731073,-2.743421186854581,26.394443035125732
41,167.64141713101137,-2.8421964948177942,46.80051851272583
42,167.36044264218737,-2.8098911695259914,40.522310733795166
43,170.22127281153865,-2.8180340841272504,43.5195574760437
44,164.87624804207942,-2.7174691918963916,23.932099103927612
45,169.87344006646347,-2.8945895876410894,45.170068979263306
46,169.10331829615046,-2.8043933778297245,89.26030707359314
47,162.9389152260075,-2.719645668051102,24.322245836257935
48,165.54252289532357,-2.79272080339815,30.89646863937378
49,165.34919781700677,-2.802543843613078,39.187755823135376
50,166.97894128972285,-2.8639270568336057,24.888249397277832
