run,ln_yyx_sec,loss_yyx,run_duration_sec
1,13.652768480226866,-1.2185516851005624,69.62051486968994
2,14.857694017336241,-1.4890192246921843,36.285921812057495
3,13.98450339946641,-1.267654961887437,43.139495611190796
4,13.84052929552117,-1.216295619548579,37.13953876495361
5,14.495222086738966,-1.3885774806334659,23.485270261764526
6,14.197160500122749,-1.312968065469851,55.52510714530945
7,14.332432491281338,-1.2759040120348693,49.41495633125305
8,15.178896479862233,-1.4995593495818471,41.88105845451355
9,14.517620556279605,-1.3805360776439393,42.445167541503906
10,14.272014489588148,-1.296771699972382,56.25611400604248
11,14.67448200218779,-1.4110974154939493,38.31801438331604
12,14.165510398314751,-1.2661481282627296,57.037452936172485
13,14.028206850288095,-1.3200957955802874,61.000468015670776
14,13.990516197218692,-1.2383352480622185,36.545170068740845
15,14.661877746017936,-1.3960362432624407,27.703645944595337
16,14.484042973262767,-1.3880726502254577,27.533647298812866
17,14.850575242245263,-1.394130798452663,38.151719093322754
18,14.230065060543264,-1.3505447655640777,33.89121627807617
19,14.405088402823909,-1.3736175001218447,22.85020351409912
20,14.020710627472996,-1.2609627348217638,43.72171115875244
21,14.133697938478367,-1.2837573560901578,49.45804262161255
22,14.473196901896085,-1.3667743139919204,25.791965007781982
23,14.63285312617332,-1.4492736999737357,32.915242433547974
24,13.906947605887535,-1.2717064665337807,37.53883981704712
25,14.40310680227227,-1.3092331278125813,39.57550811767578
26,14.672142381368415,-1.4482820549645838,35.83619832992554
27,14.558325240440155,-1.4367608371812182,42.51833629608154
28,14.504677707298406,-1.3731988000781612,39.20037627220154
29,14.457224757393716,-1.3344743908443204,38.60794115066528
30,14.893257363931088,-1.3948566556637918,40.60247826576233
31,14.528176603475913,-1.3753876606770232,49.341721534729004
32,15.109287903621764,-1.5185332871188517,43.971893072128296
33,13.833886493111715,-1.2377092498948525,25.17315983772278
34,14.391836102215949,-1.3767250223212675,28.683406829833984
35,14.389092667838783,-1.3510037772977197,25.217216968536377
36,14.579070988512303,-1.4216895112268586,17.1387460231781
37,14.61416946382928,-1.348915145930433,23.741798639297485
38,13.959618215508028,-1.2813310288237114,28.954505443572998
39,14.750353157762678,-1.437116048252296,26.144142866134644
40,14.384144217161507,-1.3458069750209392,24.0792133808136
41,14.098573097327721,-1.2382049701570803,34.36451554298401
42,14.543359160643627,-1.3838120564515402,33.65795826911926
43,14.542094988302912,-1.3675184479041813,22.46125626564026
44,15.201901363577285,-1.538066983884011,21.520655870437622
45,13.999594370054009,-1.3243542034833136,27.643508434295654
46,14.46728679212757,-1.3380918590947573,40.09616422653198
47,15.031700193507394,-1.4885623177406748,29.345074892044067
48,14.22620593509921,-1.3068880937897123,36.77893352508545
49,13.849052398173953,-1.2093849534688728,23.001772165298462
50,13.872670634440704,-1.272991864385975,24.561918020248413
