run,ln_yyx_sec,loss_yyx,run_duration_sec
1,28.689490935724972,-1.7907357776406165,89.5837574005127
2,28.764410002240144,-1.8462440152843511,64.20393180847168
3,28.724218786782014,-1.7731330416905156,63.27564311027527
4,29.021474226723395,-1.7924444283078185,76.42210721969604
5,28.93415943010183,-1.8337744727950724,70.19817686080933
6,29.141153817996894,-1.8450574337816943,75.89892888069153
7,29.480050218129215,-1.8624826538686612,54.601332902908325
8,28.744121828797045,-1.865228435001196,57.176453590393066
9,29.032376197076612,-1.8175355839299139,60.023550033569336
10,29.47216602760882,-1.861197144689294,69.69273924827576
11,29.039396592822616,-1.8670777768760252,42.161447525024414
12,29.377745556139324,-1.8662519168175915,70.62513518333435
13,28.487258422844146,-1.7581735050958516,75.47665238380432
14,29.544380921311166,-1.8150070799446418,76.20404934883118
15,29.178726139744132,-1.8123849041804778,60.982216358184814
16,29.368884782354883,-1.8515994080824563,108.01640915870667
17,28.581739414966627,-1.7145779517389113,117.60457420349121
18,28.445818281183556,-1.7148310023621174,97.20657849311829
19,29.041236970861053,-1.8358875773134227,122.238609790802
20,29.289283618049858,-1.841728064452057,91.43873000144958
21,29.052642363009536,-1.8064680480122761,52.09365916252136
22,29.216314967123996,-1.8506058264847594,74.88036155700684
23,29.43753721034756,-1.9079743015629271,46.18329954147339
24,29.788678038953815,-1.8938021318322,74.31335020065308
25,28.404471671441208,-1.7322413057105146,68.1559648513794
26,29.633205983318526,-1.908079586373189,79.7401168346405
27,29.834992844118293,-1.9390812076591546,46.66964268684387
28,28.479803378772175,-1.773588436037025,49.08022594451904
29,28.502044718743353,-1.7866848319394135,71.61952066421509
30,27.752342378980053,-1.6719555570624316,88.67917251586914
31,28.42282593492763,-1.7367953492879475,53.529401540756226
32,29.303032810032047,-1.8738123339469996,52.67046022415161
33,29.257086630663007,-1.8282019863889933,30.329684257507324
34,28.033700143758352,-1.6771729116299037,67.001051902771
35,27.981855951662265,-1.6812658711428718,77.22138667106628
36,29.34909727976828,-1.9082089982572443,55.8565878868103
37,29.266604878813936,-1.8282757024415663,46.50137233734131
38,29.22506570335756,-1.8393913423382826,28.980043172836304
39,29.289839307681795,-1.8845812514416176,24.557268142700195
40,29.348189469973537,-1.8365811222299584,26.84208369255066
41,29.34225569504245,-1.8096647518068274,32.28560924530029
42,28.596454186457766,-1.744285120476524,48.61524844169617
43,27.922804299983675,-1.671058600557639,43.40908193588257
44,29.26862681881132,-1.8893535732897075,38.49020171165466
45,28.644045427212426,-1.795838236613245,32.752116680145264
46,28.140279764599853,-1.6654355741055562,33.59774661064148
47,29.065857872869966,-1.856996631153038,35.47242498397827
48,29.13273869629351,-1.8607241472564413,33.97242736816406
49,29.52183697807507,-1.8689408007705715,29.468624114990234
50,28.652859435037737,-1.7776087807331533,35.63128089904785
