run,ln_yyx_sec,loss_yyx,run_duration_sec
1,127.31630063301938,-2.772972633055641,227.24939107894897
2,130.43637142824642,-2.759440144156941,172.263916015625
3,128.3572475884976,-2.8053990669469187,147.08716487884521
4,129.28389093639095,-2.8027781443552926,104.01621651649475
5,128.9089061789062,-2.720203126599611,141.33396768569946
6,127.42757243038493,-2.7690963157760033,86.8880774974823
7,127.92905347108473,-2.7591081249040235,85.74424624443054
8,128.84355867230866,-2.7460146492373054,105.81491804122925
9,127.8696278096278,-2.7836666122798936,72.53231048583984
10,127.65138109700611,-2.763540606924396,97.468106508255
11,127.74390583765583,-2.7764072977451884,84.53052759170532
12,129.56042910808534,-2.836570925950809,101.93395519256592
13,128.0658011989262,-2.804567029298475,77.55869197845459
14,127.88417613636362,-2.7897550515714578,107.77767586708069
15,128.3033402578715,-2.7154721171811014,76.17623353004456
16,127.45177238317864,-2.7134247351044225,109.10978269577026
17,129.59642912799163,-2.7439393739442566,53.921653032302856
18,127.30900465806717,-2.727784262867271,68.12542366981506
19,127.89993500602876,-2.7197674725506755,95.91089510917664
20,129.1710923281236,-2.8101383143619474,154.3308355808258
21,128.14372308387934,-2.761306350295608,99.86377096176147
22,128.28232479638731,-2.709111004203778,99.92648267745972
23,128.39275684775686,-2.7583696844927315,117.50382971763611
24,128.2685616866867,-2.7961893467508703,86.61828780174255
25,129.2793323152698,-2.732284368441595,88.47858333587646
26,128.35499008952135,-2.748121436866554,86.5409803390503
27,128.84664501148876,-2.7730245204366297,95.59141492843628
28,127.23786617583492,-2.7753513545505735,103.17536067962646
29,127.40959968491218,-2.7562219268273958,92.61596369743347
30,130.14905833390208,-2.732572178446202,100.59086179733276
31,129.82220083720082,-2.771603286080825,68.86639380455017
32,128.35408490877242,-2.7574346318975227,69.3708188533783
33,128.99175748191374,-2.848188220624744,87.29253315925598
34,128.99542182807807,-2.741710396031685,80.2986810207367
35,128.12830229377104,-2.73375159161292,120.2259361743927
36,128.66186817499317,-2.7530724927697583,129.78357696533203
37,128.08863792770043,-2.720056422278102,125.87644267082214
38,129.41572015197016,-2.80701407417716,224.42112278938293
39,129.28600666006915,-2.7517496744791665,109.64011001586914
40,128.45120098791972,-2.7015847545876843,116.10774564743042
41,128.10109234234233,-2.802382080677979,73.28564262390137
42,130.5497589492902,-2.7485808451384623,56.4977593421936
43,129.00448454135955,-2.745899757179054,78.60637998580933
44,130.3583732027482,-2.7587263177595207,92.74553227424622
45,129.06867603398854,-2.782756013737459,76.45427989959717
46,128.84458381677132,-2.7083048402628482,44.47439527511597
47,129.12887600668853,-2.7347893592278356,93.96309399604797
48,129.15254157566656,-2.832028930564087,79.27386236190796
49,127.98598170613796,-2.7931722205159706,66.31368923187256
50,125.26882540210664,-2.765037202952242,74.50338292121887
