history_length,transfer_entropy,runtime_seconds
2,0.502194503,5.910370588
2,0.497932759,0.6907866
2,0.501436692,0.759954453
2,0.499860111,0.632807016
2,0.493163279,0.640608788
2,0.493903893,0.646267891
2,0.49538564,0.755011797
2,0.490908443,0.615423203
2,0.491499726,0.660150051
2,0.495290234,0.60016489
3,0.435586299,2.401707649
3,0.430039349,1.408971786
3,0.435660641,1.438951015
3,0.435383263,1.467611551
3,0.42164997,1.419961452
3,0.430248023,1.553190708
3,0.436499248,1.384510279
3,0.43301555,1.454977512
3,0.438286367,1.385098934
3,0.451233336,1.641413927
4,0.367844326,4.504648685
4,0.373766442,3.819991827
4,0.367200643,4.009970903
4,0.368737636,3.859961748
4,0.359833622,3.959652662
4,0.38223707,3.975126266
4,0.370883517,3.959649086
4,0.361679708,4.044098139
4,0.365412927,3.915442228
4,0.374399838,3.864804506
5,0.33174662,11.64361167
5,0.317252203,11.08588982
5,0.329913099,10.22539401
5,0.327287854,10.44345021
5,0.333868621,10.36820865
5,0.340154697,10.16732001
5,0.331985483,10.34085083
5,0.325667245,10.25684619
5,0.332076321,10.55427146
5,0.331613534,10.6046946
6,0.310685012,21.5239985
6,0.29437404,20.04039669
6,0.312131068,20.61459947
6,0.302069199,19.91774797
6,0.307183294,19.83040595
6,0.295961492,20.16307497
6,0.306551367,20.04645324
6,0.319435953,20.38526034
6,0.297981423,19.34161997
6,0.299700647,19.53504562
7,0.305702314,32.99706435
7,0.298967032,32.19818211
7,0.299463603,31.00761151
7,0.287042738,31.659096
7,0.290387665,31.12822318
7,0.289447356,32.06154418
7,0.288743015,31.42642879
7,0.2969577,31.60874605
7,0.281660288,31.85582328
7,0.287531283,32.02967072
8,0.284300161,25.1512692
8,0.281633297,24.72613955
8,0.286606,24.06322575
8,0.29336927,25.23554969
8,0.279652095,24.82965636
8,0.275239772,24.02753472
8,0.29317479,24.78381181
8,0.272358805,24.359725
8,0.278933241,24.84406424
8,0.28966243,24.61554003
9,0.274811423,34.5299449
9,0.280176377,33.73979974
9,0.272701292,34.87822676
9,0.268915738,34.86060405
9,0.281729989,34.69705629
9,0.260592141,35.21036625
9,0.282880553,34.05259323
9,0.283080624,38.23184705
9,0.261906309,36.16129065
9,0.267806894,35.50571203
10,0.263642361,43.92959976
10,0.261799188,41.06719542
10,0.280503242,41.79856348
10,0.274001425,46.94201112
10,0.27228809,43.59953332
10,0.282681667,41.9631207
10,0.258552073,43.13505173
10,0.258468829,43.70485425
10,0.271404582,42.22629547
10,0.25708591,42.10660315
11,0.264955168,55.49571419
11,0.260499134,61.35969472
11,0.26404108,53.37211823
11,0.263219415,65.57378173
11,0.253641003,82.93447471
11,0.253996076,70.88868904
11,0.25852077,68.7404964
11,0.270000085,76.40476513
11,0.249085947,69.3197732
11,0.249055713,62.99091053
12,0.255800381,84.82422447
12,0.259659691,82.04752564
12,0.245943636,76.14448142
12,0.257834711,75.54762173
12,0.254583156,83.85951948
12,0.263537696,93.56057549
12,0.257281661,83.49103117
12,0.2638141,92.29102993
12,0.247622597,76.02920341
12,0.263457331,67.72222042
13,0.236787709,91.92016912
13,0.259935085,86.19686699
13,0.260893395,91.11960745
13,0.235754867,97.83880091
13,0.249410287,110.1595075
13,0.250745321,112.0419385
13,0.247415578,106.3372855
13,0.238388417,90.32217264
13,0.235788065,88.26733899
13,0.267535047,92.10633993
14,0.255685996,106.3303726
14,0.229242445,128.1905756
14,0.23670552,114.3886981
14,0.233993248,108.7838728
14,0.235550433,100.8119586
14,0.231708264,93.10599017
14,0.253162977,95.38477683
14,0.245090891,92.99566197
14,0.234593033,95.97646022
14,0.242223616,95.4969852
15,0.226066661,122.9889395
15,0.243625513,121.0528901
15,0.215242077,126.0608883
15,0.244665328,120.7327743
15,0.238091714,116.3032193
15,0.229920899,106.4873948
15,0.231996564,113.4719906
15,0.224017478,113.5593426
15,0.234638989,110.4551685
15,0.229366218,118.4606955
16,0.225806164,90.29280281
16,0.199597979,90.14483523
16,0.224204889,80.25082231
16,0.215723892,82.32842326
16,0.21664575,80.92971921
16,0.236487293,82.04715276
16,0.229929792,79.39855862
16,0.227172514,82.79708838
16,0.221084448,89.44184208
16,0.239939392,88.51999402
32,0.18002425,231.0799253
32,0.169218352,228.9059384
32,0.13068554,229.9760592
32,0.171736569,229.2246573
32,0.165214256,231.7774889
32,0.17939937,262.5620785
32,0.169280648,251.9384389
32,0.152149745,233.1919866
32,0.210315714,233.975177
32,0.154212972,231.715215
64,0.084102747,484.0852168
64,0.154140976,509.6090138
64,0.07786046,536.1344924
64,0.088275207,494.6158383
64,0.110701353,490.4943805
64,0.092498475,519.663482
64,0.115667031,513.7622743
64,0.074884315,496.3646383
64,0.049879645,483.5350609
64,0.092097046,482.8873675
128,0.045139811,931.4418797
128,0.137634773,894.4775479
128,0.106011353,888.2743995
128,0.037915957,913.343534
128,0.080860863,934.8552878
128,0.088750059,951.1041739
128,0.054874924,934.6167846
128,0.120787543,934.2816842
128,0.124577772,936.1526716
128,0.073481933,922.4977441
256,0.056956774,1550.248482
256,0.074484917,1543.758213
256,0.090659056,1566.497061
256,0.128567112,1562.740253
256,0.049303942,1558.098786
256,0.021524986,1786.813368
256,0.01439539,1623.875253
256,0.111512461,1575.779078
256,0.136348257,1589.786768
256,0.081057223,1938.485606
