TE_sec,h_yy_sec,h_yyx_sec,loss_yy,loss_yyx,run_duration_sec
0.40389340496836196,-0.39610173512984725,-0.7999951400982093,0.727035610335494,0.39116689296771057,105.41789650917053
0.35542895511819955,-0.38876700220667026,-0.7441959573248698,0.690630543629165,0.40356670726429333,104.22418713569641
0.5390320037020785,-0.31795363578640895,-0.8569856394884874,0.7163781527382315,0.3575699271512394,84.60638451576233
0.399516326310417,-0.3495886684218687,-0.7491049947322858,0.7121667206802273,0.3868850635825141,81.34266448020935
0.44050537729840233,-0.3596901764787832,-0.8001955537771855,0.742032329225089,0.37973503966431515,105.02426624298096
0.5406932417825704,-0.3066160238303054,-0.8473092656128758,0.7306553767277644,0.32785339249548523,101.80835771560669
0.4666303823986614,-0.3231557037106755,-0.7897860861093369,0.7123286829030058,0.3719537335626876,93.17994546890259
0.2666922703415551,-0.4106963673239262,-0.6773886376654813,0.697492353909303,0.4128084300428396,113.88963842391968
0.460792510702844,-0.38128141016050787,-0.8420739208633519,0.6757870183369594,0.331265249844688,128.20340633392334
0.445915229357758,-0.33276386166269195,-0.77867909102045,0.7136740251020952,0.3680522217273908,113.07704877853394
