TE_sec,h_yy_sec,h_yyx_sec,loss_yy,loss_yyx,run_duration_sec
0.5212745887558787,-0.43007711880159094,-0.9513517075574696,0.6902592873975797,0.26088669671794507,207.15764904022217
0.49369885446772255,-0.452320126151088,-0.9460189806188106,0.6367904829765858,0.22697288301045512,138.97834086418152
0.4221264101721652,-0.412684566639402,-0.8348109768115672,0.7292754520844325,0.35440731863042685,206.13542461395264
0.6064869053064517,-0.3006228184526695,-0.9071097237591212,0.6911886535311171,0.2580132898294701,209.5755045413971
0.4828300819257298,-0.38047339718608436,-0.8633034791118142,0.6750057892860936,0.2949921910078547,228.81238412857056
0.586465427955964,-0.33335269756324815,-0.9198181255192122,0.6918574146623052,0.26575038089771136,168.35524249076843
0.4926358498016299,-0.44793345093259723,-0.9405693007342271,0.6695408962215662,0.2453194174060992,170.61879301071167
0.4920195277841107,-0.44905499270044724,-0.9410745204845579,0.6724029109163104,0.23236779390049075,161.37003827095032
0.44824665928855656,-0.40865029629296185,-0.8568969555815185,0.7048237229530009,0.3149056766097098,181.30821013450623
0.5854361632143955,-0.42436703824166,-1.0098032014560554,0.6600808136986408,0.1969310150601066,187.2360656261444
