task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te_mean,te_std,te_sem,te_iqr,te_ci_lower,te_ci_upper,te_snr_linear,te_snr_db,mean_runtime
0,BC,0,POm,46,0.013149220601767552,0.586415202271476,0.0927203846863105,0.8157104033983984,-0.1590278132619866,0.1995924550118879,0.022423055457692978,-32.98610417915405,159.5885721862316
1,BC,0,POm,47,-0.09417008999518153,0.3392732114155245,0.05364380485764483,0.4542821091904585,-0.19423056924556925,0.01118330660235865,-0.2775641778561963,-inf,218.09009344577788
2,BC,0,POm,48,-0.011212158227268,0.5539820210487005,0.08759224846486173,0.7379436766486833,-0.1843468645721639,0.15337447501907003,-0.020239209579479004,-inf,150.3076191663742
3,BC,0,POm,49,0.03412787956458223,0.18634431861859072,0.0294636237933434,0.19484390646398397,-0.024583373679914765,0.08945972025192403,0.183144191449352,-14.7441370148997,41.36380845308304
4,BC,0,POm,50,0.3464511238257863,0.7751882943871026,0.12256803128821817,1.0495309171731932,0.10800212962756328,0.5722576336780812,0.44692512301118476,-6.995304632975118,193.52431342601776
5,BC,0,POm,51,0.4510438760429011,1.406539458150344,0.2223934153327085,2.3194175629326708,0.047469934001503684,0.8798433168250795,0.3206763048340229,-9.878662588772492,344.4852928519249
6,BC,0,POm,52,-0.29639104143570877,2.3661939034975674,0.3741281060328486,2.8412026892015447,-0.9984872042593194,0.4184132843720366,-0.12526067326840845,-inf,315.17225298881533
7,BC,0,POm,53,-0.1392338677212166,0.5645214358066267,0.08925867625687367,0.7411693087246967,-0.3103082425072788,0.02875277404882655,-0.24664053282984685,-inf,188.71138154268266
8,BC,0,POm,54,0.048212382743193505,0.3294064970734233,0.05208374034048035,0.49237562364420917,-0.052910245903592064,0.14706335320488556,0.1463613595103049,-16.69147130250044,107.95674086213111
9,BC,0,POm,55,-0.25042032792202173,0.5845454757890185,0.09242475497200546,0.8135185833204055,-0.43299954031672694,-0.0713335041059977,-0.4284017895853266,-inf,124.20418960452079
10,BC,0,POm,56,-0.060658618735979886,0.2212162623090867,0.034977362218298655,0.19862188152720783,-0.13476452401196323,0.001368550457145102,-0.2742050611596843,-inf,142.4593073785305
11,BC,0,POm,57,-0.02426354024333851,0.07100280844911641,0.011226529748392774,0.0933265773187415,-0.04616458905287905,-0.003965943978182996,-0.3417264862238059,-inf,31.905431479215622
12,BC,0,POm,58,0.006211671084691161,0.2608150290440385,0.0412384769891065,0.30456807004578046,-0.07428936274548137,0.08964501895620619,0.02381638476685453,-32.46248324074702,113.10724560022354
13,BC,0,POm,59,-0.10282640942350244,0.4996485544212294,0.07900137307908392,0.5540052751211286,-0.24967215290513248,0.05588592379775001,-0.20579747207036747,-inf,68.5751071870327
14,BC,0,POm,60,0.29938910393325474,0.6747422891376899,0.10668612336554949,0.39978810686940314,0.11284893658299097,0.5169002889713079,0.4437088185414751,-7.058038795250039,105.78681307435036
15,BC,0,POm,61,-0.1425186249297017,0.394258952685611,0.062337813919954486,0.5804267156236413,-0.25924630613891103,-0.026702013129066667,-0.36148481590308623,-inf,164.73336638212203
16,BC,0,POm,62,-0.018215575699497322,0.5247205343331656,0.08296560117766923,0.5838600346494456,-0.1757976807858732,0.148882463083626,-0.03471481390116809,-inf,71.05615143179894
17,BC,1,POm,46,0.9515741285575292,1.8184498633379904,0.28752216894849847,3.233513398433722,0.37897136792298364,1.4955933947847986,0.5232886249669797,-5.625174113453012,107.80969611406326
18,BC,1,POm,47,0.3427733248687067,0.9920589692415862,0.15685829580011687,1.2245267350683324,0.02992236773453561,0.6506589435675565,0.34551708668160286,-9.230609416270546,51.45699023008346
19,BC,1,POm,48,0.18950278671076698,0.6878100240413292,0.10875231367328855,0.9600429625771731,-0.025579915651708456,0.396846600901999,0.27551617465141814,-11.197058001168854,46.97748529314995
20,BC,1,POm,49,-0.05861884969350337,0.47035108558109373,0.0743690365184519,0.4646498457685757,-0.21672224348881686,0.07360197961441126,-0.12462786095429737,-inf,29.07181098461151
21,BC,1,POm,50,0.870986012358707,0.9004257932945756,0.14236981853874137,1.5411296339001836,0.6041963669323456,1.1424212717728375,0.9673046006066184,-0.2887349333924722,100.4042801618576
22,BC,1,POm,51,1.7011940314902951,2.111493881438973,0.3338564965428343,2.6918513318723143,1.0661650033391805,2.3659233166373705,0.8056826716120719,-1.876719538691234,122.56308273673058
23,BC,1,POm,52,1.488084169291244,7.355029085131514,1.1629322082900029,11.896258111851445,-0.7694870462655446,3.7245169841555628,0.20232199656415578,-13.879137958314825,133.80350801944732
24,BC,1,POm,53,1.0732175110489894,1.697714804014043,0.2684322799035373,2.7302725383007385,0.5694625709731895,1.5824815067938005,0.6321541807325325,-3.983539710459052,109.22267952561378
25,BC,1,POm,54,0.3754251122214877,0.5610992360909962,0.08871757897140502,0.8986606698015489,0.20566337356718398,0.5519151724573678,0.6690886176159455,-3.490327163542237,65.91223128437996
26,BC,1,POm,55,-0.049719300111943456,0.8144216146661816,0.1287713639008563,0.8850808945199606,-0.2808625239021822,0.21987159948954824,-0.061048600892453724,-inf,86.03429892659187
