run,ln_yy_sec,loss_yy,run_duration_sec
1,2.9638158304157396,-0.43548999703705493,44.404475688934326
2,3.645525328141125,-0.937308013254644,5.408486604690552
3,3.067378563974418,-0.4612335110596459,5.879704713821411
4,3.435616011014295,-0.7316930434283089,3.0652222633361816
5,3.686212648248033,-1.0080430352650929,6.167181015014648
6,3.042932137724539,-0.45888001999987904,4.418825149536133
7,3.61043352093613,-0.9139455316974652,7.008440256118774
8,3.5060440860271944,-0.8797620649308243,4.379118919372559
9,3.0274222469428254,-0.5372768437530234,5.63493537902832
10,3.589102503537394,-0.9362435828052438,5.1718950271606445
11,3.2849591133739677,-0.7021773016489696,5.386967182159424
12,3.5078672936973927,-0.7826106304723781,6.581908702850342
13,2.9694856329918893,-0.4304398575065306,5.856952428817749
14,3.425601177392729,-0.809099699321546,3.20786452293396
15,3.623924598969419,-0.9504074238402187,4.259774446487427
16,3.715774083250693,-1.06222949899018,3.2163658142089844
17,3.4741137985056274,-0.7925968701625387,6.033149480819702
18,3.5912495849105475,-0.9046388986309984,6.445854663848877
19,3.7339530958996465,-1.0007161710284442,7.580730438232422
20,3.407588310123597,-0.7179571570995792,5.253882646560669
21,3.6915366195820436,-0.9600369952411475,2.200692653656006
22,3.736222773533241,-1.0566166266568304,3.279252290725708
23,3.2974595404310985,-0.7568171828892947,2.1141602993011475
24,3.336401602131909,-0.6854024125326529,3.023522138595581
25,3.4328599738877874,-0.811113670514464,7.082886457443237
26,3.350452963373363,-0.7401501918355747,2.781954765319824
27,3.3613424389724025,-0.7474968972220879,6.661079406738281
28,3.138918788346959,-0.6293209300321692,2.9183528423309326
29,3.4361096896869356,-0.7977982748403638,6.5152506828308105
30,3.4855459912814837,-0.8362795236309984,2.2852888107299805
31,3.134536795443917,-0.6680438629244873,3.135371208190918
32,3.529846424461026,-0.9344118667460817,4.111160755157471
33,3.457166237845879,-0.8032976746928212,2.654811143875122
34,3.5643622122214427,-0.8493885713465074,7.350456237792969
35,3.569556634074271,-0.898851896587171,4.2473626136779785
36,3.3840432408571983,-0.7684330895958301,5.172129392623901
37,3.6717858130865424,-1.0119702601949496,3.4542460441589355
38,3.3368352635307823,-0.725293611225329,3.145515203475952
39,3.302500259509643,-0.7653058409321788,5.886781215667725
40,3.7467543412435904,-1.075369442210478,4.8364152908325195
41,3.516819748381466,-0.8197877488269156,5.708242177963257
42,3.259449576268624,-0.7223952443976152,3.1569268703460693
43,3.483201292055679,-0.7609547712485487,3.3450889587402344
44,3.4948706262547162,-0.8729983114236649,5.188428640365601
45,3.2875676690289604,-0.6591118024229634,3.9599967002868652
46,3.4623796895659993,-0.7677394052038989,5.086893558502197
47,3.430146022044714,-0.8492358889742163,4.382491827011108
48,3.558202390562516,-0.8609549224192143,5.4822375774383545
49,3.454954015773147,-0.7148905184246808,5.017192840576172
50,2.8760131206059723,-0.33181729626729395,6.141149997711182
